Léxico,Supra category,Super category,Basic category
autista,MAL ESTAR,LOUCURA,DOENÇA MENTAL
bipolar,MAL ESTAR,LOUCURA,DOENÇA MENTAL
bulimia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
bulímica,MAL ESTAR,LOUCURA,DOENÇA MENTAL
catatonia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
catatónico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
ciclotimia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
ciclotimica,MAL ESTAR,LOUCURA,DOENÇA MENTAL
ciclotimico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
cleptomania,MAL ESTAR,LOUCURA,DOENÇA MENTAL
compulsivo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
delirium,MAL ESTAR,LOUCURA,DOENÇA MENTAL
demência,MAL ESTAR,LOUCURA,DOENÇA MENTAL
demencial,MAL ESTAR,LOUCURA,DOENÇA MENTAL
demente,MAL ESTAR,LOUCURA,DOENÇA MENTAL
dependência,MAL ESTAR,LOUCURA,DOENÇA MENTAL
dependente,MAL ESTAR,LOUCURA,DOENÇA MENTAL
depressão,MAL ESTAR,LOUCURA,DOENÇA MENTAL
depressiva,MAL ESTAR,LOUCURA,DOENÇA MENTAL
depressivo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
desorganizado,MAL ESTAR,LOUCURA,DOENÇA MENTAL
despersonalização,MAL ESTAR,LOUCURA,DOENÇA MENTAL
dispareunia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
disruptiva,MAL ESTAR,LOUCURA,DOENÇA MENTAL
disruptivo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
dissociação,MAL ESTAR,LOUCURA,DOENÇA MENTAL
dissociativa,MAL ESTAR,LOUCURA,DOENÇA MENTAL
dissónia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
distimica,MAL ESTAR,LOUCURA,DOENÇA MENTAL
distimico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
distorção,MAL ESTAR,LOUCURA,DOENÇA MENTAL
distorcer,MAL ESTAR,LOUCURA,DOENÇA MENTAL
distúrbio,MAL ESTAR,LOUCURA,DOENÇA MENTAL
doentio,MAL ESTAR,LOUCURA,DOENÇA MENTAL
encoprese,MAL ESTAR,LOUCURA,DOENÇA MENTAL
enfermo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
enurese,MAL ESTAR,LOUCURA,DOENÇA MENTAL
erotomania,MAL ESTAR,LOUCURA,DOENÇA MENTAL
erotomaníaco,MAL ESTAR,LOUCURA,DOENÇA MENTAL
erotómano,MAL ESTAR,LOUCURA,DOENÇA MENTAL
esquizoafectiva,MAL ESTAR,LOUCURA,DOENÇA MENTAL
esquizofrenia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
esquizofrénico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
esquizofreniforme,MAL ESTAR,LOUCURA,DOENÇA MENTAL
exibicionismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
factícia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
festorvo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
fetichismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
frotteurismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
hiperactividade,MAL ESTAR,LOUCURA,DOENÇA MENTAL
hiperactivo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
hipersónia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
hipocondria,MAL ESTAR,LOUCURA,DOENÇA MENTAL
hipocondríaco,MAL ESTAR,LOUCURA,DOENÇA MENTAL
hipomaníaco,MAL ESTAR,LOUCURA,DOENÇA MENTAL
histeria,MAL ESTAR,LOUCURA,DOENÇA MENTAL
histérico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
indiderenciado,MAL ESTAR,LOUCURA,DOENÇA MENTAL
insónia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
intoxicação,MAL ESTAR,LOUCURA,DOENÇA MENTAL
lunático,MAL ESTAR,LOUCURA,DOENÇA MENTAL
mania,MAL ESTAR,LOUCURA,DOENÇA MENTAL
maníaco,MAL ESTAR,LOUCURA,DOENÇA MENTAL
manicómio,MAL ESTAR,LOUCURA,DOENÇA MENTAL
masochismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
masoquismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
masoquista,MAL ESTAR,LOUCURA,DOENÇA MENTAL
megalomania,MAL ESTAR,LOUCURA,DOENÇA MENTAL
megalómano,MAL ESTAR,LOUCURA,DOENÇA MENTAL
melomania,MAL ESTAR,LOUCURA,DOENÇA MENTAL
melómano,MAL ESTAR,LOUCURA,DOENÇA MENTAL
mericismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
mitomania,MAL ESTAR,LOUCURA,DOENÇA MENTAL
mitomaníaco,MAL ESTAR,LOUCURA,DOENÇA MENTAL
mitómano,MAL ESTAR,LOUCURA,DOENÇA MENTAL
morbidade,MAL ESTAR,LOUCURA,DOENÇA MENTAL
morbidez,MAL ESTAR,LOUCURA,DOENÇA MENTAL
morbideza,MAL ESTAR,LOUCURA,DOENÇA MENTAL
mórbido,MAL ESTAR,LOUCURA,DOENÇA MENTAL
mutismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
narcisismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
narcisista,MAL ESTAR,LOUCURA,DOENÇA MENTAL
narciso,MAL ESTAR,LOUCURA,DOENÇA MENTAL
narcolepsia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
neurose,MAL ESTAR,LOUCURA,DOENÇA MENTAL
neurótico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
obsessão,MAL ESTAR,LOUCURA,DOENÇA MENTAL
obsessivo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
parafilia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
paranóia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
paranóico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
paranóide,MAL ESTAR,LOUCURA,DOENÇA MENTAL
parassónia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
patológico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
pedofilia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
perversão,MAL ESTAR,LOUCURA,DOENÇA MENTAL
perversidade,MAL ESTAR,LOUCURA,DOENÇA MENTAL
perverso,MAL ESTAR,LOUCURA,DOENÇA MENTAL
pica,MAL ESTAR,LOUCURA,DOENÇA MENTAL
piromania,MAL ESTAR,LOUCURA,DOENÇA MENTAL
psicadélico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
psicopata,MAL ESTAR,LOUCURA,DOENÇA MENTAL
psicopatia,MAL ESTAR,LOUCURA,DOENÇA MENTAL
psicopático,MAL ESTAR,LOUCURA,DOENÇA MENTAL
psicose,MAL ESTAR,LOUCURA,DOENÇA MENTAL
psicossomático,MAL ESTAR,LOUCURA,DOENÇA MENTAL
psicótico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
psíquico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
psiquismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
residual,MAL ESTAR,LOUCURA,DOENÇA MENTAL
sádico,MAL ESTAR,LOUCURA,DOENÇA MENTAL
sadismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
sadomasoquismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
sadomasoquista,MAL ESTAR,LOUCURA,DOENÇA MENTAL
somático,MAL ESTAR,LOUCURA,DOENÇA MENTAL
somatização,MAL ESTAR,LOUCURA,DOENÇA MENTAL
somatoforme,MAL ESTAR,LOUCURA,DOENÇA MENTAL
sonambulismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
sonâmbulo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
suicída,MAL ESTAR,LOUCURA,DOENÇA MENTAL
suicidar,MAL ESTAR,LOUCURA,DOENÇA MENTAL
tourette,MAL ESTAR,LOUCURA,DOENÇA MENTAL
tricotilomania,MAL ESTAR,LOUCURA,DOENÇA MENTAL
vaginismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
viciante,MAL ESTAR,LOUCURA,DOENÇA MENTAL
vinculação,MAL ESTAR,LOUCURA,DOENÇA MENTAL
voyeurismo,MAL ESTAR,LOUCURA,DOENÇA MENTAL
aberração,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
absurdo,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
anormal,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
anormalidade,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
apanhado,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
aparvalhado,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
aparvalhar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
bêbado,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
bebedeira,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
confusão mental,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
contra-senso,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
delirante,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
delirar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
delírio,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desdizer,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desembestadamente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desenfreadamente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desenfrear,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desequilibrado,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desequilibrar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desequilíbrio,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desestabilização,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desestabilizar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desmentido,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desmentir,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desmiolado,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desordeiro,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
despautério,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desvairado,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desvairamento,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desvairar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desvairo,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
desvario,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
devaneio,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
discórdia,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
disparatar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
disparate,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
divagação,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
divagar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
doidice,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
doidinho,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
doidivanas,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
doido,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
ebriedade,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
ébrio,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
ensandecer,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
entontecer,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
entontecimento,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
esquisitamente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
esquisitice,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
esquisito,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
estonteante,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
estontear,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
estranho,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
excentricidade,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
excêntrico,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
extravagância,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
extravagante,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
fantasia,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
fantasioso,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
histerismo,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
idiota,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
idiotia,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
idiotice,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
idiotismo,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
ignaro,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
imaginação,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
imaginativo,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
imbecil,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
imbecilidade,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
imbecilizar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
imprudência,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
imprudente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
imprudentemente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
impudência,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
impudentemente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
inebriado,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
inebriante,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
inebriar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
inépcia,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
inepto,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
insânia,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
insano,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
insensata,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
insensatez,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
insensato,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
instabilidade,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
instável,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
irreflectidamente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
irreflectido,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
irreflexão,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
irresponsabilidade,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
irresponsável,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
irresponsavelmente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
jerico,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
levianamente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
leviandade,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
leviano,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
louco,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
loucura,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
maluca,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
maluco,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
maluquice,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
marciano,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
marginal,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
marginalidade,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
mulherengo,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
obcecação,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
obcecadamente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
obcecar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
parvamente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
parvo,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
parvoíce,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
paspalhão,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
paspalho,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
patego,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
pateta,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
pateticamente,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
patetice,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
patifaria,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
patife,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
problemática,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
problemático,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
problematizar,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
suicidar-se,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
suicídio,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
tara,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
tarado,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
tolice,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
tolo,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
tontice,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
tonto,MAL ESTAR,LOUCURA,DESIQUILÍBRIO
alegrar,BEM ESTAR,ENTUSIASMO,ALEGRIA
alegre,BEM ESTAR,ENTUSIASMO,ALEGRIA
alegremente,BEM ESTAR,ENTUSIASMO,ALEGRIA
alegrete,BEM ESTAR,ENTUSIASMO,ALEGRIA
alegria,BEM ESTAR,ENTUSIASMO,ALEGRIA
bem-humorado,BEM ESTAR,ENTUSIASMO,ALEGRIA
bom humor,BEM ESTAR,ENTUSIASMO,ALEGRIA
brincadeira,BEM ESTAR,ENTUSIASMO,ALEGRIA
brincalhão,BEM ESTAR,ENTUSIASMO,ALEGRIA
brincar,BEM ESTAR,ENTUSIASMO,ALEGRIA
buliçoso,BEM ESTAR,ENTUSIASMO,ALEGRIA
desenfadar,BEM ESTAR,ENTUSIASMO,ALEGRIA
desenfado,BEM ESTAR,ENTUSIASMO,ALEGRIA
desenfastiadamente,BEM ESTAR,ENTUSIASMO,ALEGRIA
desenfastiar,BEM ESTAR,ENTUSIASMO,ALEGRIA
diversão,BEM ESTAR,ENTUSIASMO,ALEGRIA
divertido,BEM ESTAR,ENTUSIASMO,ALEGRIA
divertimento,BEM ESTAR,ENTUSIASMO,ALEGRIA
divertir,BEM ESTAR,ENTUSIASMO,ALEGRIA
enreter,BEM ESTAR,ENTUSIASMO,ALEGRIA
entretenimento,BEM ESTAR,ENTUSIASMO,ALEGRIA
folgar,BEM ESTAR,ENTUSIASMO,ALEGRIA
folgaz,BEM ESTAR,ENTUSIASMO,ALEGRIA
folgazão,BEM ESTAR,ENTUSIASMO,ALEGRIA
genial,BEM ESTAR,ENTUSIASMO,ALEGRIA
genialmente,BEM ESTAR,ENTUSIASMO,ALEGRIA
jucundo,BEM ESTAR,ENTUSIASMO,ALEGRIA
ledo,BEM ESTAR,ENTUSIASMO,ALEGRIA
optimismo,BEM ESTAR,ENTUSIASMO,ALEGRIA
optimista,BEM ESTAR,ENTUSIASMO,ALEGRIA
recreio,BEM ESTAR,ENTUSIASMO,ALEGRIA
viver,BEM ESTAR,ENTUSIASMO,ALEGRIA
ativo,BEM ESTAR,ENTUSIASMO,VIVACIDADE
alacridade,BEM ESTAR,ENTUSIASMO,VIVACIDADE
animação,BEM ESTAR,ENTUSIASMO,VIVACIDADE
animado,BEM ESTAR,ENTUSIASMO,VIVACIDADE
animar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
aperaltada,BEM ESTAR,ENTUSIASMO,VIVACIDADE
aperaltado,BEM ESTAR,ENTUSIASMO,VIVACIDADE
aperaltar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
arrebatado,BEM ESTAR,ENTUSIASMO,VIVACIDADE
arrebatamento,BEM ESTAR,ENTUSIASMO,VIVACIDADE
arrebatar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
brejeiro,BEM ESTAR,ENTUSIASMO,VIVACIDADE
capitoso,BEM ESTAR,ENTUSIASMO,VIVACIDADE
desembaraçado,BEM ESTAR,ENTUSIASMO,VIVACIDADE
desembaraçamento,BEM ESTAR,ENTUSIASMO,VIVACIDADE
desembaraçar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
desempecer,BEM ESTAR,ENTUSIASMO,VIVACIDADE
desempecilhar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
diligência,BEM ESTAR,ENTUSIASMO,VIVACIDADE
diligenciar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
diligente,BEM ESTAR,ENTUSIASMO,VIVACIDADE
dinâmico,BEM ESTAR,ENTUSIASMO,VIVACIDADE
dinamismo,BEM ESTAR,ENTUSIASMO,VIVACIDADE
dinamizar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
empolgamento,BEM ESTAR,ENTUSIASMO,VIVACIDADE
empolgante,BEM ESTAR,ENTUSIASMO,VIVACIDADE
empolgar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
emulação,BEM ESTAR,ENTUSIASMO,VIVACIDADE
emular,BEM ESTAR,ENTUSIASMO,VIVACIDADE
enérgico,BEM ESTAR,ENTUSIASMO,VIVACIDADE
entreter,BEM ESTAR,ENTUSIASMO,VIVACIDADE
entusiasmada,BEM ESTAR,ENTUSIASMO,VIVACIDADE
entusiasmado,BEM ESTAR,ENTUSIASMO,VIVACIDADE
entusiasmante,BEM ESTAR,ENTUSIASMO,VIVACIDADE
entusiasmar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
entusiasmo,BEM ESTAR,ENTUSIASMO,VIVACIDADE
entusiasta,BEM ESTAR,ENTUSIASMO,VIVACIDADE
entusiástico,BEM ESTAR,ENTUSIASMO,VIVACIDADE
exaltação,BEM ESTAR,ENTUSIASMO,VIVACIDADE
exaltado,BEM ESTAR,ENTUSIASMO,VIVACIDADE
exaltante,BEM ESTAR,ENTUSIASMO,VIVACIDADE
exaltar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
expedito,BEM ESTAR,ENTUSIASMO,VIVACIDADE
farra,BEM ESTAR,ENTUSIASMO,VIVACIDADE
fervente,BEM ESTAR,ENTUSIASMO,VIVACIDADE
festas,BEM ESTAR,ENTUSIASMO,VIVACIDADE
festeiro,BEM ESTAR,ENTUSIASMO,VIVACIDADE
festejar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
festejo,BEM ESTAR,ENTUSIASMO,VIVACIDADE
festim,BEM ESTAR,ENTUSIASMO,VIVACIDADE
festival,BEM ESTAR,ENTUSIASMO,VIVACIDADE
festivaleiro,BEM ESTAR,ENTUSIASMO,VIVACIDADE
festividade,BEM ESTAR,ENTUSIASMO,VIVACIDADE
festivo,BEM ESTAR,ENTUSIASMO,VIVACIDADE
fogosamente,BEM ESTAR,ENTUSIASMO,VIVACIDADE
fogoso,BEM ESTAR,ENTUSIASMO,VIVACIDADE
folião,BEM ESTAR,ENTUSIASMO,VIVACIDADE
galdério,BEM ESTAR,ENTUSIASMO,VIVACIDADE
genica,BEM ESTAR,ENTUSIASMO,VIVACIDADE
impetuosamente,BEM ESTAR,ENTUSIASMO,VIVACIDADE
impetuosidade,BEM ESTAR,ENTUSIASMO,VIVACIDADE
impetuoso,BEM ESTAR,ENTUSIASMO,VIVACIDADE
maganão,BEM ESTAR,ENTUSIASMO,VIVACIDADE
másculo,BEM ESTAR,ENTUSIASMO,VIVACIDADE
patusco,BEM ESTAR,ENTUSIASMO,VIVACIDADE
reanimada,BEM ESTAR,ENTUSIASMO,VIVACIDADE
reanimado,BEM ESTAR,ENTUSIASMO,VIVACIDADE
reanimar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
renascer,BEM ESTAR,ENTUSIASMO,VIVACIDADE
renascido,BEM ESTAR,ENTUSIASMO,VIVACIDADE
renascimento,BEM ESTAR,ENTUSIASMO,VIVACIDADE
revigorar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
revitalização,BEM ESTAR,ENTUSIASMO,VIVACIDADE
revitalizar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
reviver,BEM ESTAR,ENTUSIASMO,VIVACIDADE
revivida,BEM ESTAR,ENTUSIASMO,VIVACIDADE
revivido,BEM ESTAR,ENTUSIASMO,VIVACIDADE
revivificação,BEM ESTAR,ENTUSIASMO,VIVACIDADE
revivificar,BEM ESTAR,ENTUSIASMO,VIVACIDADE
sadio,BEM ESTAR,ENTUSIASMO,VIVACIDADE
saudável,BEM ESTAR,ENTUSIASMO,VIVACIDADE
saúde,BEM ESTAR,ENTUSIASMO,VIVACIDADE
vigor,BEM ESTAR,ENTUSIASMO,VIVACIDADE
vigorosamente,BEM ESTAR,ENTUSIASMO,VIVACIDADE
vigoroso,BEM ESTAR,ENTUSIASMO,VIVACIDADE
vitalidade,BEM ESTAR,ENTUSIASMO,VIVACIDADE
viva,BEM ESTAR,ENTUSIASMO,VIVACIDADE
vivacidade,BEM ESTAR,ENTUSIASMO,VIVACIDADE
vivamente,BEM ESTAR,ENTUSIASMO,VIVACIDADE
vivaz,BEM ESTAR,ENTUSIASMO,VIVACIDADE
viveza,BEM ESTAR,ENTUSIASMO,VIVACIDADE
vivo,BEM ESTAR,ENTUSIASMO,VIVACIDADE
zelo,BEM ESTAR,ENTUSIASMO,VIVACIDADE
zeloso,BEM ESTAR,ENTUSIASMO,VIVACIDADE
alerta,BEM ESTAR,ENTUSIASMO,ALERTA
alertar,BEM ESTAR,ENTUSIASMO,ALERTA
atenção,BEM ESTAR,ENTUSIASMO,ALERTA
atentamente,BEM ESTAR,ENTUSIASMO,ALERTA
atento,BEM ESTAR,ENTUSIASMO,ALERTA
concentração,BEM ESTAR,ENTUSIASMO,ALERTA
concentrado,BEM ESTAR,ENTUSIASMO,ALERTA
concentrar,BEM ESTAR,ENTUSIASMO,ALERTA
despertado,BEM ESTAR,ENTUSIASMO,ALERTA
despertar,BEM ESTAR,ENTUSIASMO,ALERTA
prevenção,BEM ESTAR,ENTUSIASMO,ALERTA
prevenido,BEM ESTAR,ENTUSIASMO,ALERTA
vigiar,BEM ESTAR,ENTUSIASMO,ALERTA
vígil,BEM ESTAR,ENTUSIASMO,ALERTA
vigilância,BEM ESTAR,ENTUSIASMO,ALERTA
vigilante,BEM ESTAR,ENTUSIASMO,ALERTA
vigília,BEM ESTAR,ENTUSIASMO,ALERTA
abandonado,MAL ESTAR,DEPRESSÃO,TRISTEZA
abandonada,MAL ESTAR,DEPRESSÃO,TRISTEZA
abandonar,MAL ESTAR,DEPRESSÃO,TRISTEZA
abandono,MAL ESTAR,DEPRESSÃO,TRISTEZA
afectação,MAL ESTAR,DEPRESSÃO,TRISTEZA
amargoso,MAL ESTAR,DEPRESSÃO,TRISTEZA
cabisbaixo,MAL ESTAR,DEPRESSÃO,TRISTEZA
cancro,MAL ESTAR,DEPRESSÃO,TRISTEZA
contristar,MAL ESTAR,DEPRESSÃO,TRISTEZA
cremação,MAL ESTAR,DEPRESSÃO,TRISTEZA
cremar,MAL ESTAR,DEPRESSÃO,TRISTEZA
crematório,MAL ESTAR,DEPRESSÃO,TRISTEZA
deprimente,MAL ESTAR,DEPRESSÃO,TRISTEZA
deprimida,MAL ESTAR,DEPRESSÃO,TRISTEZA
deprimido,MAL ESTAR,DEPRESSÃO,TRISTEZA
deprimir,MAL ESTAR,DEPRESSÃO,TRISTEZA
desamparado,MAL ESTAR,DEPRESSÃO,TRISTEZA
desamparar,MAL ESTAR,DEPRESSÃO,TRISTEZA
desamparo,MAL ESTAR,DEPRESSÃO,TRISTEZA
