sent5,sent5_10,sent10,num_per,num_loc,num_org,VERB,ADJ,NOUN,ADV,racista,argumentativo,pressuposicao,possibilidade_necessidade,opiniao_valoracao,erros_ort,char_len,positivos,negativos,ÓDIO,AGRESSIVIDADE,AFEIÇÃO,GENTILEZA
34,13,5,0.0481651376146789,0.020642201834862386,0.02981651376146789,0.05963302752293578,0.016055045871559634,0.09403669724770643,0.0045871559633027525,0,0.12155963302752294,0.006880733944954129,0.0,0.0022935779816513763,0.20642201834862386,1641,0.006880733944954129,0.006880733944954129,0.0,0.0,0.0022935779816513763,0.0
5,0,0,0.07407407407407407,0.037037037037037035,0.0,0.037037037037037035,0.0,0.25925925925925924,0.0,0,0.14814814814814814,0.0,0.037037037037037035,0.0,0.1111111111111111,94,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
1,2,1,0.04411764705882353,0.0,0.0,0.1323529411764706,0.07352941176470588,0.17647058823529413,0.029411764705882353,1,0.10294117647058823,0.029411764705882353,0.0,0.0,0.14705882352941177,278,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0
0,1,0,0.07142857142857142,0.0,0.0,0.21428571428571427,0.0,0.2857142857142857,0.0,0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.0,68,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0
2,2,2,0.01,0.04,0.04,0.14,0.03,0.14,0.02,0,0.08,0.02,0.0,0.01,0.14,409,0.01,0.02,0.0,0.01,0.0,0.0
4,7,3,0.06854838709677419,0.008064516129032258,0.008064516129032258,0.11290322580645161,0.028225806451612902,0.1814516129032258,0.024193548387096774,1,0.13709677419354838,0.03225806451612903,0.004032258064516129,0.016129032258064516,0.13306451612903225,1122,0.04838709677419355,0.012096774193548387,0.0,0.0,0.004032258064516129,0.004032258064516129
3,3,3,0.04794520547945205,0.0273972602739726,0.03424657534246575,0.1095890410958904,0.0136986301369863,0.1780821917808219,0.0273972602739726,0,0.13013698630136986,0.00684931506849315,0.0,0.0136986301369863,0.11643835616438356,662,0.0136986301369863,0.00684931506849315,0.0,0.0,0.0,0.0
3,0,12,0.03197674418604651,0.01744186046511628,0.01744186046511628,0.12209302325581395,0.023255813953488372,0.18313953488372092,0.029069767441860465,4,0.0872093023255814,0.014534883720930232,0.0,0.00872093023255814,0.13372093023255813,1396,0.0377906976744186,0.01744186046511628,0.0029069767441860465,0.0,0.011627906976744186,0.0
22,15,16,0.0021390374331550803,0.020320855614973262,0.0,0.11550802139037433,0.057754010695187166,0.2160427807486631,0.057754010695187166,14,0.12192513368983957,0.013903743315508022,0.0010695187165775401,0.031016042780748664,0.12727272727272726,3869,0.03636363636363636,0.044919786096256686,0.0010695187165775401,0.0053475935828877,0.0021390374331550803,0.0
2,5,4,0.06796116504854369,0.0048543689320388345,0.019417475728155338,0.0970873786407767,0.038834951456310676,0.17475728155339806,0.009708737864077669,0,0.11650485436893204,0.024271844660194174,0.0048543689320388345,0.009708737864077669,0.11165048543689321,888,0.019417475728155338,0.014563106796116505,0.0,0.0,0.0,0.0
1,6,7,0.006472491909385114,0.009708737864077669,0.009708737864077669,0.11003236245954692,0.09061488673139159,0.2297734627831715,0.022653721682847898,1,0.09385113268608414,0.025889967637540454,0.009708737864077669,0.006472491909385114,0.10032362459546926,1443,0.061488673139158574,0.012944983818770227,0.0,0.0,0.0,0.0
9,4,2,0.011976047904191617,0.059880239520958084,0.023952095808383235,0.12574850299401197,0.017964071856287425,0.16766467065868262,0.017964071856287425,2,0.12574850299401197,0.029940119760479042,0.011976047904191617,0.011976047904191617,0.10778443113772455,726,0.017964071856287425,0.041916167664670656,0.005988023952095809,0.0,0.005988023952095809,0.0
1,0,5,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.11392405063291139,0.0189873417721519,0.1962025316455696,0.02531645569620253,0,0.08227848101265822,0.0,0.006329113924050633,0.012658227848101266,0.14556962025316456,656,0.012658227848101266,0.012658227848101266,0.0,0.006329113924050633,0.0,0.0
6,2,5,0.04452054794520548,0.0273972602739726,0.017123287671232876,0.07876712328767123,0.017123287671232876,0.17123287671232876,0.017123287671232876,1,0.09246575342465753,0.003424657534246575,0.003424657534246575,0.010273972602739725,0.14383561643835616,1181,0.0273972602739726,0.00684931506849315,0.0,0.0,0.003424657534246575,0.0
4,8,0,0.017964071856287425,0.011976047904191617,0.011976047904191617,0.1317365269461078,0.03592814371257485,0.20958083832335328,0.03592814371257485,0,0.1437125748502994,0.005988023952095809,0.005988023952095809,0.0,0.11976047904191617,740,0.017964071856287425,0.011976047904191617,0.005988023952095809,0.011976047904191617,0.0,0.0
1,5,0,0.0125,0.0,0.025,0.175,0.0125,0.175,0.0375,0,0.125,0.0125,0.0,0.0375,0.1125,328,0.025,0.025,0.0,0.0,0.0,0.0
6,1,2,0.046296296296296294,0.0,0.0,0.12962962962962962,0.027777777777777776,0.1388888888888889,0.018518518518518517,0,0.1111111111111111,0.018518518518518517,0.0,0.009259259259259259,0.2222222222222222,367,0.046296296296296294,0.027777777777777776,0.0,0.009259259259259259,0.0,0.0
2,6,6,0.02112676056338028,0.01056338028169014,0.02464788732394366,0.11267605633802817,0.02464788732394366,0.2112676056338028,0.056338028169014086,2,0.13028169014084506,0.03169014084507042,0.0,0.03169014084507042,0.14084507042253522,1179,0.028169014084507043,0.02112676056338028,0.0,0.0035211267605633804,0.0,0.0
3,3,1,0.030612244897959183,0.01020408163265306,0.0,0.16326530612244897,0.030612244897959183,0.15306122448979592,0.030612244897959183,3,0.15306122448979592,0.0,0.0,0.0,0.09183673469387756,385,0.0,0.030612244897959183,0.0,0.0,0.0,0.0
4,3,6,0.05964912280701754,0.021052631578947368,0.02456140350877193,0.14385964912280702,0.021052631578947368,0.1824561403508772,0.017543859649122806,0,0.09824561403508772,0.010526315789473684,0.0035087719298245615,0.0035087719298245615,0.13333333333333333,1289,0.028070175438596492,0.03859649122807018,0.0,0.0035087719298245615,0.0,0.007017543859649123
8,5,4,0.007905138339920948,0.007905138339920948,0.02766798418972332,0.13043478260869565,0.02766798418972332,0.16600790513833993,0.039525691699604744,3,0.13438735177865613,0.003952569169960474,0.007905138339920948,0.03162055335968379,0.09486166007905138,1027,0.023715415019762844,0.043478260869565216,0.0,0.0,0.0,0.0
4,4,2,0.047244094488188976,0.007874015748031496,0.023622047244094488,0.11811023622047244,0.047244094488188976,0.14960629921259844,0.047244094488188976,0,0.13385826771653545,0.015748031496062992,0.0,0.031496062992125984,0.15748031496062992,571,0.047244094488188976,0.031496062992125984,0.0,0.0,0.0,0.0
14,4,4,0.021367521367521368,0.0,0.01282051282051282,0.14957264957264957,0.03418803418803419,0.14957264957264957,0.05982905982905983,7,0.1581196581196581,0.01282051282051282,0.004273504273504274,0.017094017094017096,0.11965811965811966,911,0.038461538461538464,0.03418803418803419,0.004273504273504274,0.004273504273504274,0.0,0.0
